-0.07	-0.000528751
-0.069	-0.000384227
-0.068	-0.00023344
-0.067	-7.68E-05
-0.066	8.49E-05
-0.065	0.00024846
-0.064	0.000414981
-0.063	0.000582735
-0.062	0.000749529
-0.061	0.000912545
-0.06	0.00106618
-0.059	0.00120788
-0.058	0.00133206
-0.057	0.00143168
-0.056	0.00149801
-0.055	0.0015185
-0.054	0.00148146
-0.053	0.00137067
-0.052	0.00116611
-0.051	0.000843304
-0.05	0.000370939
-0.049	-0.000285958
-0.048	-0.0011711
-0.047	-0.0023375
-0.046	-0.00384888
-0.045	-0.0057827
-0.044	-0.0082285
-0.043	-0.0112929
-0.042	-0.0151009
-0.041	-0.0197973
-0.04	-0.0255484
-0.039	-0.0325398
-0.038	-0.0409773
-0.037	-0.0510844
-0.036	-0.0630974
-0.035	-0.0772605
-0.034	-0.0938152
-0.033	-0.112993
-0.032	-0.135006
-0.031	-0.160034
-0.03	-0.188218
-0.029	-0.219644
-0.028	-0.254329
-0.027	-0.292205
-0.026	-0.333094
-0.025	-0.376675
-0.024	-0.422444
-0.023	-0.469691
-0.022	-0.517483
-0.021	-0.564696
-0.02	-0.610098
-0.019	-0.652481
-0.018	-0.690827
-0.017	-0.724445
-0.016	-0.753039
-0.015	-0.776693
-0.014	-0.795788
-0.013	-0.810881
-0.012	-0.822605
-0.011	-0.831581
-0.01	-0.838375
-0.009	-0.843465
-0.008	-0.847245
-0.007	-0.850025
-0.006	-0.852047
-0.005	-0.853499
-0.004	-0.854524
-0.003	-0.855225
-0.002	-0.855675
-0.001	-0.855923
0	-0.856
0.001	-0.855913
0.002	-0.855654
0.003	-0.855194
0.004	-0.854482
0.005	-0.853447
0.006	-0.851985
0.007	-0.849952
0.008	-0.847161
0.009	-0.843371
0.01	-0.83827
0.011	-0.831466
0.012	-0.822479
0.013	-0.810744
0.014	-0.79564
0.015	-0.776535
0.016	-0.752869
0.017	-0.724264
0.018	-0.690635
0.019	-0.652277
0.02	-0.609883
0.021	-0.56447
0.022	-0.517245
0.023	-0.469441
0.024	-0.422183
0.025	-0.376402
0.026	-0.33281
0.027	-0.291908
0.028	-0.254019
0.029	-0.219322
0.03	-0.187884
0.031	-0.159687
0.032	-0.134646
0.033	-0.11262
0.034	-0.0934285
0.035	-0.0768605
0.036	-0.0626841
0.037	-0.0506568
0.038	-0.0405355
0.039	-0.0320837
0.04	-0.0250781
0.041	-0.0193127
0.042	-0.014601
0.043	-0.0107775
0.044	-0.00769774
0.045	-0.00523655
0.046	-0.0032873
0.047	-0.00175921
0.048	-0.000576091
0.049	0.000325774
0.05	0.000999399
0.051	0.0014885
0.052	0.00182954
0.053	0.00205234
0.054	0.00218138
0.055	0.00223668
0.056	0.00223442
0.057	0.00218806
0.058	0.00210842
0.059	0.00200423
0.06	0.00188253
0.061	0.00174882
0.062	0.00160775
0.063	0.00146292
0.064	0.00131713
0.065	0.00117258
0.066	0.00103084
0.067	0.000893294
0.068	0.000760892
0.069	0.000634308
0.07	0.000513998
