-0.55	-0.364085
-0.549	-0.364008
-0.548	-0.363931
-0.547	-0.363853
-0.546	-0.363776
-0.545	-0.363699
-0.544	-0.363621
-0.543	-0.363544
-0.542	-0.363467
-0.541	-0.36339
-0.54	-0.363312
-0.539	-0.363235
-0.538	-0.363158
-0.537	-0.36308
-0.536	-0.363003
-0.535	-0.362926
-0.534	-0.362848
-0.533	-0.362771
-0.532	-0.362694
-0.531	-0.362616
-0.53	-0.362539
-0.529	-0.362462
-0.528	-0.362384
-0.527	-0.362307
-0.526	-0.36223
-0.525	-0.362153
-0.524	-0.362075
-0.523	-0.361998
-0.522	-0.361921
-0.521	-0.361843
-0.52	-0.361766
-0.519	-0.361689
-0.518	-0.361611
-0.517	-0.361534
-0.516	-0.361457
-0.515	-0.361379
-0.514	-0.361302
-0.513	-0.361225
-0.512	-0.361148
-0.511	-0.36107
-0.51	-0.360993
-0.509	-0.360916
-0.508	-0.360838
-0.507	-0.360761
-0.506	-0.360684
-0.505	-0.360606
-0.504	-0.360529
-0.503	-0.360452
-0.502	-0.360374
-0.501	-0.360297
-0.5	-0.36022
-0.499	-0.360143
-0.498	-0.360065
-0.497	-0.359988
-0.496	-0.359911
-0.495	-0.359833
-0.494	-0.359756
-0.493	-0.359679
-0.492	-0.359601
-0.491	-0.359524
-0.49	-0.359447
-0.489	-0.35937
-0.488	-0.359292
-0.487	-0.359215
-0.486	-0.359138
-0.485	-0.35906
-0.484	-0.358983
-0.483	-0.358906
-0.482	-0.358828
-0.481	-0.358751
-0.48	-0.358674
-0.479	-0.358597
-0.478	-0.358519
-0.477	-0.358442
-0.476	-0.358365
-0.475	-0.358287
-0.474	-0.35821
-0.473	-0.358133
-0.472	-0.358055
-0.471	-0.357978
-0.47	-0.357901
-0.469	-0.357824
-0.468	-0.357746
-0.467	-0.357669
-0.466	-0.357592
-0.465	-0.357514
-0.464	-0.357437
-0.463	-0.35736
-0.462	-0.357283
-0.461	-0.357205
-0.46	-0.357128
-0.459	-0.357051
-0.458	-0.356973
-0.457	-0.356896
-0.456	-0.356819
-0.455	-0.356742
-0.454	-0.356664
-0.453	-0.356587
-0.452	-0.35651
-0.451	-0.356432
-0.45	-0.356355
-0.449	-0.356278
-0.448	-0.356201
-0.447	-0.356123
-0.446	-0.356046
-0.445	-0.355969
-0.444	-0.355891
-0.443	-0.355814
-0.442	-0.355737
-0.441	-0.35566
-0.44	-0.355582
-0.439	-0.355505
-0.438	-0.355428
-0.437	-0.355351
-0.436	-0.355273
-0.435	-0.355196
-0.434	-0.355119
-0.433	-0.355041
-0.432	-0.354964
-0.431	-0.354887
-0.43	-0.35481
-0.429	-0.354732
-0.428	-0.354655
-0.427	-0.354578
-0.426	-0.354501
-0.425	-0.354423
-0.424	-0.354346
-0.423	-0.354269
-0.422	-0.354191
-0.421	-0.354114
-0.42	-0.354037
-0.419	-0.35396
-0.418	-0.353882
-0.417	-0.353805
-0.416	-0.353728
-0.415	-0.353651
-0.414	-0.353573
-0.413	-0.353496
-0.412	-0.353419
-0.411	-0.353342
-0.41	-0.353264
-0.409	-0.353187
-0.408	-0.35311
-0.407	-0.353033
-0.406	-0.352955
-0.405	-0.352878
-0.404	-0.352801
-0.403	-0.352724
-0.402	-0.352646
-0.401	-0.352569
-0.4	-0.352492
-0.399	-0.352415
-0.398	-0.352337
-0.397	-0.35226
-0.396	-0.352183
-0.395	-0.352106
-0.394	-0.352028
-0.393	-0.351951
-0.392	-0.351874
-0.391	-0.351797
-0.39	-0.35172
-0.389	-0.351642
-0.388	-0.351565
-0.387	-0.351488
-0.386	-0.351411
-0.385	-0.351333
-0.384	-0.351256
-0.383	-0.351179
-0.382	-0.351102
-0.381	-0.351025
-0.38	-0.350947
-0.379	-0.35087
-0.378	-0.350793
-0.377	-0.350716
-0.376	-0.350638
-0.375	-0.350561
-0.374	-0.350484
-0.373	-0.350407
-0.372	-0.35033
-0.371	-0.350252
-0.37	-0.350175
-0.369	-0.350098
-0.368	-0.350021
-0.367	-0.349944
-0.366	-0.349866
-0.365	-0.349789
-0.364	-0.349712
-0.363	-0.349635
-0.362	-0.349558
-0.361	-0.34948
-0.36	-0.349403
-0.359	-0.349326
-0.358	-0.349249
-0.357	-0.349172
-0.356	-0.349095
-0.355	-0.349017
-0.354	-0.34894
-0.353	-0.348863
-0.352	-0.348786
-0.351	-0.348709
-0.35	-0.348632
-0.349	-0.348554
-0.348	-0.348477
-0.347	-0.3484
-0.346	-0.348323
-0.345	-0.348246
-0.344	-0.348169
-0.343	-0.348092
-0.342	-0.348014
-0.341	-0.347937
-0.34	-0.34786
-0.339	-0.347783
-0.338	-0.347706
-0.337	-0.347629
-0.336	-0.347552
-0.335	-0.347474
-0.334	-0.347397
-0.333	-0.34732
-0.332	-0.347243
-0.331	-0.347166
-0.33	-0.347089
-0.329	-0.347012
-0.328	-0.346935
-0.327	-0.346858
-0.326	-0.346781
-0.325	-0.346703
-0.324	-0.346626
-0.323	-0.346549
-0.322	-0.346472
-0.321	-0.346395
-0.32	-0.346318
-0.319	-0.346241
-0.318	-0.346164
-0.317	-0.346087
-0.316	-0.34601
-0.315	-0.345933
-0.314	-0.345856
-0.313	-0.345779
-0.312	-0.345702
-0.311	-0.345625
-0.31	-0.345548
-0.309	-0.345471
-0.308	-0.345394
-0.307	-0.345317
-0.306	-0.34524
-0.305	-0.345163
-0.304	-0.345086
-0.303	-0.345009
-0.302	-0.344932
-0.301	-0.344855
-0.3	-0.344778
-0.299	-0.344701
-0.298	-0.344624
-0.297	-0.344547
